"";"event";"pairing_order";"team_home";"gymnast_home";"dvalue_home";"endvalue_home";"score_home";"team_guest";"gymnast_guest";"dvalue_guest";"endvalue_guest";"score_guest";"home_starts";"url";"time";"location"
"pommel_horse.32";"pommel_horse";3;"Exquisa Oberbayern";"Miedl, Stefan";3,8;11,6;4;"MTV Ludwigsburg";"Teschner, Magnus";3,4;10,45;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"pommel_horse.42";"pommel_horse";4;"Exquisa Oberbayern";"Schmidt, Casimir";5,3;12,15;4;"MTV Ludwigsburg";"Herbst, Kai";3,4;10,8;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"still_rings.12";"still_rings";1;"Exquisa Oberbayern";"Reithmeier, Jonas";3,9;11,7;3;"MTV Ludwigsburg";"Kriegelstein, Jonathan";4;11;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"still_rings.22";"still_rings";2;"Exquisa Oberbayern";"Schmidt, Casimir";5,5;13,05;3;"MTV Ludwigsburg";"Eder, Jonas";3,9;12,2;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"still_rings.32";"still_rings";3;"Exquisa Oberbayern";"Miedl, Stefan";3,8;11,45;4;"MTV Ludwigsburg";"Häfner, Luis";3,4;10,2;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"still_rings.42";"still_rings";4;"Exquisa Oberbayern";"Olbrich, Jonas";3,4;11,7;0;"MTV Ludwigsburg";"Bonicelli, Lorenzo";4,5;12,55;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"vault.12";"vault";1;"Exquisa Oberbayern";"Braig, Moritz";5,2;14,05;4;"MTV Ludwigsburg";"Herbst, Kai";4;12,6;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"vault.22";"vault";2;"Exquisa Oberbayern";"Reithmeier, Jonas";4;12,45;0;"MTV Ludwigsburg";"Winkler, Jonas";4;12,6;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"vault.32";"vault";3;"Exquisa Oberbayern";"Kuavita, Noah";5,2;14;0;"MTV Ludwigsburg";"Bonicelli, Lorenzo";5,2;14,1;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"vault.42";"vault";4;"Exquisa Oberbayern";"Stemmer, Fabian";4,8;13,4;1;"MTV Ludwigsburg";"Teschner, Magnus";4,8;13,25;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"parallel_bars.12";"parallel_bars";1;"Exquisa Oberbayern";"Dauth, Fabian";4,1;11,15;0;"MTV Ludwigsburg";"Eder, Jonas";4,8;11,5;2;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"parallel_bars.22";"parallel_bars";2;"Exquisa Oberbayern";"Braig, Moritz";3,4;11,85;1;"MTV Ludwigsburg";"Winkler, Jonas";3;11,6;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"parallel_bars.32";"parallel_bars";3;"Exquisa Oberbayern";"Reithmeier, Jonas";4,2;11,75;0;"MTV Ludwigsburg";"Bonicelli, Lorenzo";5,1;11,9;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"parallel_bars.42";"parallel_bars";4;"Exquisa Oberbayern";"Kuavita, Noah";5,3;13,15;4;"MTV Ludwigsburg";"Teschner, Magnus";3,1;11,65;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
